date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2018-08-10,355.49,360.0,346.0,354.0,11552044,355.49,360.0,346.0,354.0,11552044,0.0,1.0,0
2018-08-13,356.41,363.19,349.02,361.13,10463881,356.41,363.19,349.02,361.13,10463881,0.0,1.0,0
2018-08-14,347.64,359.1995,347.1,358.45,6986427,347.64,359.1995,347.1,358.45,6986427,0.0,1.0,1
2018-08-15,338.69,344.49,332.14,341.9059,9101258,338.69,344.49,332.14,341.9059,9101258,0.0,1.0,0
2018-08-16,335.45,342.28,333.82,339.91,6064033,335.45,342.28,333.82,339.91,6064033,0.0,1.0,0
2018-08-17,305.5,326.77,303.53,323.5,18958612,305.5,326.77,303.53,323.5,18958612,0.0,1.0,1
2018-08-20,308.44,308.5,288.2,291.7035,17402335,308.44,308.5,288.2,291.7035,17402335,0.0,1.0,1
2018-08-21,321.9,324.79,309.0,310.61,13172230,321.9,324.79,309.0,310.61,13172230,0.0,1.0,1
2018-08-22,321.64,323.88,314.67,320.87,5945955,321.64,323.88,314.67,320.87,5945955,0.0,1.0,0
2018-08-23,320.1,327.32,318.1,319.14,5147286,320.1,327.32,318.1,319.14,5147286,0.0,1.0,0
2018-08-24,322.82,323.85,319.4,320.7,3602564,322.82,323.85,319.4,320.7,3602564,0.0,1.0,0
2018-08-27,319.27,322.435,308.81,318.0,13079288,319.27,322.435,308.81,318.0,13079288,0.0,1.0,0
2018-08-28,311.86,318.88,311.19,318.41,7649091,311.86,318.88,311.19,318.41,7649091,0.0,1.0,0
2018-08-29,305.01,311.85,303.69,310.27,7447392,305.01,311.85,303.69,310.27,7447392,0.0,1.0,0
2018-08-30,303.15,304.6,297.72,302.26,7216706,303.15,304.6,297.72,302.26,7216706,0.0,1.0,0
2018-08-31,301.66,305.3082,298.6,302.0,5375104,301.66,305.3082,298.6,302.0,5375104,0.0,1.0,0
2018-09-04,288.95,298.19,288.0,296.94,8350469,288.95,298.19,288.0,296.94,8350469,0.0,1.0,0
2018-09-05,280.74,286.78,277.18,285.05,7720821,280.74,286.78,277.18,285.05,7720821,0.0,1.0,0
2018-09-06,280.95,291.17,278.88,284.8,7480760,280.95,291.17,278.88,284.8,7480760,0.0,1.0,0
2018-09-07,263.24,268.35,252.2548,260.1,22491931,263.24,268.35,252.2548,260.1,22491931,0.0,1.0,0
2018-09-10,285.5,286.03,271.0,273.26,14283528,285.5,286.03,271.0,273.26,14283528,0.0,1.0,1
2018-09-11,279.44,282.0,273.55,279.47,9169989,279.44,282.0,273.55,279.47,9169989,0.0,1.0,0
2018-09-12,290.54,292.5,278.6463,281.44,10015427,290.54,292.5,278.6463,281.44,10015427,0.0,1.0,1
2018-09-13,289.46,295.0,285.18,288.02,6340336,289.46,295.0,285.18,288.02,6340336,0.0,1.0,0
2018-09-14,295.2,297.3256,286.52,288.76,6765612,295.2,297.3256,286.52,288.76,6765612,0.0,1.0,0
2018-09-17,294.84,300.87,288.13,290.04,6887577,294.84,300.87,288.13,290.04,6887577,0.0,1.0,0
2018-09-18,284.96,302.64,275.5,296.69,16547522,284.96,302.64,275.5,296.69,16547522,0.0,1.0,1
2018-09-19,299.02,300.0,280.5,280.51,8294917,299.02,300.0,280.5,280.51,8294917,0.0,1.0,1
2018-09-20,298.33,305.98,293.33,303.56,7349422,298.33,305.98,293.33,303.56,7349422,0.0,1.0,0
2018-09-21,299.1,300.58,295.37,297.7,5050478,299.1,300.58,295.37,297.7,5050478,0.0,1.0,0
